level_0,itrial,dataname,muh_fun,method,train_size,coverage,width,Unnamed: 0,Unnamed: 0.1,index
182,5,Solar_Atl,RandomForestRegressor,ICP,856,0.7748604769152715,101.22706306306313,244.0,164.0,
183,5,Solar_Atl,RandomForestRegressor,Weighted_ICP,856,0.7664890918315576,106.15833333333332,245.0,165.0,
184,5,Solar_Atl,NeuralNet,ICP,856,0.6694571283612379,57.68662643432617,246.0,166.0,
185,5,Solar_Atl,NeuralNet,Weighted_ICP,856,0.6690766108574328,64.7547607421875,247.0,167.0,
186,5,Solar_Atl,RidgeCV,ICP,1634,0.806360821840698,96.71012723862408,248.0,168.0,
187,5,Solar_Atl,RidgeCV,Weighted_ICP,1634,0.7224880382775121,88.49077835804312,249.0,169.0,
188,5,Solar_Atl,RandomForestRegressor,ICP,1634,0.8278919223191669,138.77262872628722,252.0,172.0,
189,5,Solar_Atl,RandomForestRegressor,Weighted_ICP,1634,0.7934140163242329,115.41040462427742,253.0,173.0,
190,5,Solar_Atl,NeuralNet,ICP,1634,0.724036025893611,84.43077850341797,254.0,174.0,
191,5,Solar_Atl,NeuralNet,Weighted_ICP,1634,0.6961722488038278,75.23741912841797,255.0,175.0,
192,5,Solar_Atl,RidgeCV,ICP,2413,0.8549075391180654,120.13396920120951,256.0,176.0,
193,5,Solar_Atl,RidgeCV,Weighted_ICP,2413,0.8451082661608977,115.23208292349483,257.0,177.0,
194,5,Solar_Atl,RandomForestRegressor,ICP,2413,0.8568041725936463,163.08444444444459,260.0,180.0,
195,5,Solar_Atl,RandomForestRegressor,Weighted_ICP,2413,0.8438438438438438,152.93791136016304,261.0,181.0,
196,5,Solar_Atl,NeuralNet,ICP,2413,0.7662399241346609,97.2500991821289,262.0,182.0,
197,5,Solar_Atl,NeuralNet,Weighted_ICP,2413,0.7556503872293346,91.01014709472656,263.0,183.0,
198,6,Solar_Atl,RidgeCV,ICP,856,0.7540588533739219,75.24697651981944,264.0,192.0,
199,6,Solar_Atl,RidgeCV,Weighted_ICP,856,0.6216387620497209,63.730302569637395,265.0,193.0,
200,6,Solar_Atl,RandomForestRegressor,ICP,856,0.7562151192288179,99.79060665362032,268.0,196.0,
201,6,Solar_Atl,RandomForestRegressor,Weighted_ICP,856,0.7605276509386099,98.89532710280376,269.0,197.0,
202,6,Solar_Atl,NeuralNet,ICP,856,0.708650431253171,75.47651672363281,270.0,198.0,
203,6,Solar_Atl,NeuralNet,Weighted_ICP,856,0.6900050735667174,72.17982482910156,271.0,199.0,
204,6,Solar_Atl,RidgeCV,ICP,1634,0.7872220658598368,90.91312888919902,272.0,200.0,
205,6,Solar_Atl,RidgeCV,Weighted_ICP,1634,0.7831410075992119,92.51824252196757,273.0,201.0,
206,6,Solar_Atl,RandomForestRegressor,ICP,1634,0.8028426681677455,120.30006688963208,276.0,204.0,
207,6,Solar_Atl,RandomForestRegressor,Weighted_ICP,1634,0.8014354066985646,118.29433962264154,277.0,205.0,
208,6,Solar_Atl,NeuralNet,ICP,1634,0.6967351533915002,73.59020233154297,278.0,206.0,
209,6,Solar_Atl,NeuralNet,Weighted_ICP,1634,0.6985645933014354,68.70752716064453,279.0,207.0,
210,6,Solar_Atl,RidgeCV,ICP,2413,0.8433696854749486,114.67825714694395,280.0,208.0,
211,6,Solar_Atl,RidgeCV,Weighted_ICP,2413,0.8504820610083768,118.85267291526706,281.0,209.0,
212,6,Solar_Atl,RandomForestRegressor,ICP,2413,0.8406827880512091,148.33334424351548,284.0,212.0,
213,6,Solar_Atl,RandomForestRegressor,Weighted_ICP,2413,0.8536431168010116,167.26540983606557,285.0,213.0,
214,6,Solar_Atl,NeuralNet,ICP,2413,0.8144460249723408,120.7546844482422,286.0,214.0,
215,6,Solar_Atl,NeuralNet,Weighted_ICP,2413,0.8127074442863916,117.41014862060548,287.0,215.0,
216,7,Solar_Atl,RidgeCV,ICP,856,0.5843480466768138,56.97993457444886,288.0,224.0,
217,7,Solar_Atl,RidgeCV,Weighted_ICP,856,0.6397767630644343,65.76687388874008,289.0,225.0,
218,7,Solar_Atl,RandomForestRegressor,ICP,856,0.7558346017250127,95.83296703296705,292.0,228.0,
219,7,Solar_Atl,RandomForestRegressor,Weighted_ICP,856,0.7780314561136479,106.58043478260879,293.0,229.0,
220,7,Solar_Atl,NeuralNet,ICP,856,0.6546169457128361,55.81340026855469,294.0,230.0,
221,7,Solar_Atl,NeuralNet,Weighted_ICP,856,0.6774479959411466,64.32948303222656,295.0,231.0,
222,7,Solar_Atl,RidgeCV,ICP,1634,0.7566844919786097,89.30125549643513,296.0,232.0,
223,7,Solar_Atl,RidgeCV,Weighted_ICP,1634,0.7977765268786942,101.8912310292588,297.0,233.0,
224,7,Solar_Atl,RandomForestRegressor,ICP,1634,0.7824373768646214,109.9484536082475,300.0,236.0,
225,7,Solar_Atl,RandomForestRegressor,Weighted_ICP,1634,0.8146636645088657,129.78113207547182,301.0,237.0,
226,7,Solar_Atl,NeuralNet,ICP,1634,0.7330424992963692,82.091064453125,302.0,238.0,
227,7,Solar_Atl,NeuralNet,Weighted_ICP,1634,0.7572473965662819,94.65848541259766,303.0,239.0,
228,7,Solar_Atl,RidgeCV,ICP,2413,0.8372056266793109,109.76643179610201,304.0,240.0,
229,7,Solar_Atl,RidgeCV,Weighted_ICP,2413,0.8667614983404457,133.97866045999535,305.0,241.0,
230,7,Solar_Atl,RandomForestRegressor,ICP,2413,0.8530109056424846,170.25170929349204,308.0,244.0,
231,7,Solar_Atl,RandomForestRegressor,Weighted_ICP,2413,0.8465307412675833,160.39408866995066,309.0,245.0,
232,7,Solar_Atl,NeuralNet,ICP,2413,0.8070175438596491,116.3114013671875,310.0,246.0,
233,7,Solar_Atl,NeuralNet,Weighted_ICP,2413,0.8370475738896791,124.39588165283205,311.0,247.0,
234,8,Solar_Atl,RidgeCV,ICP,856,0.7241248097412479,69.16528957825946,312.0,256.0,
235,8,Solar_Atl,RidgeCV,Weighted_ICP,856,0.6473871131405378,76.68735433943347,313.0,257.0,
