itrial,dataname,muh_fun,method,train_size,alpha,coverage,width,bootstrap_type,block_length
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.2,0.7984269947989344,104.1821872140563,circular,72
0,Solar_Atl,LassoCV,Ensemble,,0.5,0.4880121781047824,22.72597374129523,circular,72
0,Solar_Atl,RidgeCV,Ensemble,,0.5,0.49156412533299504,24.754973037345355,circular,72
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.5,0.5301281238107319,8.151294860684159,circular,72
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.5,0.5124952429278193,14.611909268442696,circular,72
0,Solar_Atl,LassoCV,Ensemble,,0.8,0.18863376886971964,7.339291847543604,circular,72
0,Solar_Atl,RidgeCV,Ensemble,,0.8,0.1852086768996575,8.040817014865839,circular,72
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.8,0.47925916529240137,0.0022361627684981383,circular,72
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.8,0.27527591018647724,1.3344867997593044,circular,72
0,Solar_Atl,LassoCV,Ensemble,,0.9,0.09755169351769631,3.91626744158175,circular,72
0,Solar_Atl,RidgeCV,Ensemble,,0.9,0.09882024609920081,4.291787293692762,circular,72
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.9,0.4732969681593302,0.001087309500667429,circular,72
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.9,0.14524927058226564,0.39731318381792435,circular,72
0,Solar_Atl,LassoCV,Ensemble,,0.99,0.008753012812381073,0.3460205184767501,circular,72
0,Solar_Atl,RidgeCV,Ensemble,,0.99,0.00799188126347837,0.35768396724609935,circular,72
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.99,0.4334644171000888,9.841925260257469e-05,circular,72
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.99,0.12076620575922872,0.003776523548609022,circular,72
0,Solar_Atl,LassoCV,Ensemble,,0.01,0.9859190663453,459.97872011026715,stationary,6
0,Solar_Atl,RidgeCV,Ensemble,,0.01,0.9859190663453,464.3773599747112,stationary,6
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.01,0.9859190663453,371.52710353236796,stationary,6
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.01,0.9862996321197514,353.39996850444555,stationary,6
0,Solar_Atl,LassoCV,Ensemble,,0.1,0.8931878726373208,162.1114057745781,stationary,6
0,Solar_Atl,RidgeCV,Ensemble,,0.1,0.8942027147025244,164.05745504233565,stationary,6
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.1,0.8930610173791703,223.84132814524656,stationary,6
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.1,0.8916656095395155,209.53641853887206,stationary,6
0,Solar_Atl,LassoCV,Ensemble,,0.2,0.7901814030191552,82.45329678128651,stationary,6
0,Solar_Atl,RidgeCV,Ensemble,,0.2,0.7908156793099074,83.82451265543585,stationary,6
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.2,0.8012178104782444,116.7892146205238,stationary,6
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.2,0.7993149816059876,103.75205170076563,stationary,6
0,Solar_Atl,LassoCV,Ensemble,,0.5,0.4866167702651275,21.077911092935132,stationary,6
0,Solar_Atl,RidgeCV,Ensemble,,0.5,0.49080299378409237,23.133180351942585,stationary,6
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.5,0.5386274261068121,8.212057510220465,stationary,6
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.5,0.5141443612837752,14.196908480207584,stationary,6
0,Solar_Atl,LassoCV,Ensemble,,0.8,0.19104401877457822,6.721185670497842,stationary,6
0,Solar_Atl,RidgeCV,Ensemble,,0.8,0.18888747938602055,7.43951411076343,stationary,6
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.8,0.49689204617531396,0.0009189322355566838,stationary,6
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.8,0.2983635671698592,1.324192940924753,stationary,6
0,Solar_Atl,LassoCV,Ensemble,,0.9,0.10567043003932514,3.6003537049261207,stationary,6
0,Solar_Atl,RidgeCV,Ensemble,,0.9,0.10097678548775847,4.019308526135808,stationary,6
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.9,0.49638462514271214,0.0003049233491886156,stationary,6
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.9,0.17315742737536471,0.40390790457652853,stationary,6
0,Solar_Atl,LassoCV,Ensemble,,0.99,0.009006723328681973,0.31007436646433706,stationary,6
0,Solar_Atl,RidgeCV,Ensemble,,0.99,0.008118736521628821,0.35088324254550995,stationary,6
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.99,0.49131041481669413,2.533892933098235e-05,stationary,6
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.99,0.14880121781047825,0.004203181123408135,stationary,6
0,Solar_Atl,LassoCV,Ensemble,,0.01,0.9851579347963973,460.1826853192864,stationary,12
0,Solar_Atl,RidgeCV,Ensemble,,0.01,0.9860459216034505,465.4355959011739,stationary,12
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.01,0.9860459216034505,372.7231456858678,stationary,12
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.01,0.9856653558289991,355.18843369984853,stationary,12
0,Solar_Atl,LassoCV,Ensemble,,0.1,0.8934415831536218,161.77736219115397,stationary,12
0,Solar_Atl,RidgeCV,Ensemble,,0.1,0.8952175567677281,163.4198199047583,stationary,12
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.1,0.8957249778003298,219.96084567492125,stationary,12
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.1,0.8934415831536218,208.48626081024616,stationary,12
0,Solar_Atl,LassoCV,Ensemble,,0.2,0.7908156793099074,82.53787042010636,stationary,12
0,Solar_Atl,RidgeCV,Ensemble,,0.2,0.790688824051757,83.89770912086466,stationary,12
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.2,0.8014715209945452,114.93645739948002,stationary,12
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.2,0.7988075605733858,105.1889956922977,stationary,12
0,Solar_Atl,LassoCV,Ensemble,,0.5,0.4868704807814284,20.675936508623824,stationary,12
0,Solar_Atl,RidgeCV,Ensemble,,0.5,0.49029557275149055,22.90804123074454,stationary,12
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.5,0.5405302549790689,8.231046007832877,stationary,12
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.5,0.5145249270582266,14.72704286132094,stationary,12
0,Solar_Atl,LassoCV,Ensemble,,0.8,0.19243942661423316,6.5186768097069,stationary,12
0,Solar_Atl,RidgeCV,Ensemble,,0.8,0.1923125713560827,7.318234083663442,stationary,12
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.8,0.49689204617531396,0.00047773712571098074,stationary,12
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.8,0.29303564632754026,1.3984295791782018,stationary,12
0,Solar_Atl,LassoCV,Ensemble,,0.9,0.10351389065076748,3.5117885429075875,stationary,12
0,Solar_Atl,RidgeCV,Ensemble,,0.9,0.10364074590891792,3.9721263504237454,stationary,12
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.9,0.49689204617531396,9.874469971957174e-05,stationary,12
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.9,0.23366738551312952,0.4958853746141013,stationary,12
0,Solar_Atl,LassoCV,Ensemble,,0.99,0.008245591779779272,0.30703521527846067,stationary,12
0,Solar_Atl,RidgeCV,Ensemble,,0.99,0.007230749714575669,0.3391579286723685,stationary,12
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.99,0.49308638843080044,2.832550888505753e-06,stationary,12
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.99,0.15882278320436383,0.004927719917455729,stationary,12
0,Solar_Atl,LassoCV,Ensemble,,0.01,0.9855385005708487,460.85981653806436,stationary,24
0,Solar_Atl,RidgeCV,Ensemble,,0.01,0.9860459216034505,464.8453030093112,stationary,24
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.01,0.9859190663453,372.9024409754344,stationary,24
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.01,0.9857922110871495,353.1168040393576,stationary,24
0,Solar_Atl,LassoCV,Ensemble,,0.1,0.8945832804769758,163.09482986688644,stationary,24
0,Solar_Atl,RidgeCV,Ensemble,,0.1,0.8952175567677281,165.13802349541174,stationary,24
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.1,0.8947101357351263,220.4506762496684,stationary,24
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.1,0.8924267410884181,209.04230173796182,stationary,24
0,Solar_Atl,LassoCV,Ensemble,,0.2,0.790435113535456,82.55424975609517,stationary,24
0,Solar_Atl,RidgeCV,Ensemble,,0.2,0.7911962450843587,83.93790167915259,stationary,24
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.2,0.803120639350501,114.78356634758767,stationary,24
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.2,0.7990612710896867,104.18524100999599,stationary,24
0,Solar_Atl,LassoCV,Ensemble,,0.5,0.4889001649118356,21.206270263121677,stationary,24
0,Solar_Atl,RidgeCV,Ensemble,,0.5,0.4883927438792338,23.3219177547284,stationary,24
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.5,0.5406571102372193,8.651166688154667,stationary,24
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.5,0.5174425979956869,13.659760205117454,stationary,24
0,Solar_Atl,LassoCV,Ensemble,,0.8,0.1905365977419764,6.806354948720637,stationary,24
0,Solar_Atl,RidgeCV,Ensemble,,0.8,0.1867309399974629,7.594809667525845,stationary,24
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.8,0.49689204617531396,0.0010744474089061811,stationary,24
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.8,0.2927819358112394,1.139370996872815,stationary,24
0,Solar_Atl,LassoCV,Ensemble,,0.9,0.10173791703666117,3.6817414660961765,stationary,24
0,Solar_Atl,RidgeCV,Ensemble,,0.9,0.09691741722694405,4.073303185461994,stationary,24
0,Solar_Atl,RandomForestRegressor,Ensemble,,0.9,0.4960040593682608,0.0005400473002689982,stationary,24
0,Solar_Atl,ExtraTreesRegressor,Ensemble,,0.9,0.17721679563617912,0.45806589651985397,stationary,24
