level_0,index,itrial,dataname,muh_fun,method,alpha,coverage,width
32,,6,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8316210045662099,194.32706227524238
33,,6,Solar_Atl,RNN,Ensemble,0.2,0.7816780821917808,147.75709331198567
34,,6,Solar_Atl,RNN,Ensemble,0.25,0.7231735159817352,113.52501991561992
35,,7,Solar_Atl,RNN,Ensemble,0.05,0.9340753424657534,353.0163739842423
36,,7,Solar_Atl,RNN,Ensemble,0.1,0.8829908675799086,255.54322233420413
37,,7,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8280536529680366,193.55341574352107
38,,7,Solar_Atl,RNN,Ensemble,0.2,0.7841038812785388,150.6198455502912
39,,7,Solar_Atl,RNN,Ensemble,0.25,0.7304509132420092,116.87645280074732
40,,8,Solar_Atl,RNN,Ensemble,0.05,0.9325057077625569,355.4893141854114
41,,8,Solar_Atl,RNN,Ensemble,0.1,0.8814212328767124,255.40207307617217
42,,8,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8287671232876712,195.82751270402588
43,,8,Solar_Atl,RNN,Ensemble,0.2,0.7819634703196348,147.70426300296958
44,,8,Solar_Atl,RNN,Ensemble,0.25,0.7315924657534246,112.92419103800465
45,,9,Solar_Atl,RNN,Ensemble,0.05,0.9340753424657534,346.1746431928777
46,,9,Solar_Atl,RNN,Ensemble,0.1,0.8804223744292238,247.71981522672883
47,,9,Solar_Atl,RNN,Ensemble,0.15000000000000002,0.8304794520547946,201.1004150588021
48,,9,Solar_Atl,RNN,Ensemble,0.2,0.7758276255707762,146.48496592274282
49,,9,Solar_Atl,RNN,Ensemble,0.25,0.7298801369863014,117.82133769686813
