level_0,index,itrial,dataname,muh_fun,method,alpha,coverage,width
14,,2,Beijing_air,RNN,Ensemble,0.25,0.736625,43.31581401981206
15,,3,Beijing_air,RNN,Ensemble,0.05,0.939375,121.6621632731787
16,,3,Beijing_air,RNN,Ensemble,0.1,0.888375,82.51404560046831
17,,3,Beijing_air,RNN,Ensemble,0.15000000000000002,0.834625,62.791593085733346
18,,3,Beijing_air,RNN,Ensemble,0.2,0.780375,52.179109858440114
19,,3,Beijing_air,RNN,Ensemble,0.25,0.736,42.25552362475166
20,,4,Beijing_air,RNN,Ensemble,0.05,0.9395,122.69820288306309
21,,4,Beijing_air,RNN,Ensemble,0.1,0.883375,82.96499913509695
22,,4,Beijing_air,RNN,Ensemble,0.15000000000000002,0.83525,64.7859118104189
23,,4,Beijing_air,RNN,Ensemble,0.2,0.784125,51.70959272128602
24,,4,Beijing_air,RNN,Ensemble,0.25,0.728,41.7771843898156
25,,5,Beijing_air,RNN,Ensemble,0.05,0.938875,122.05491995493574
26,,5,Beijing_air,RNN,Ensemble,0.1,0.886875,83.6568372847783
27,,5,Beijing_air,RNN,Ensemble,0.15000000000000002,0.834125,64.13883054545445
28,,5,Beijing_air,RNN,Ensemble,0.2,0.7835,49.73512169600747
29,,5,Beijing_air,RNN,Ensemble,0.25,0.734875,41.04803573529133
30,,6,Beijing_air,RNN,Ensemble,0.05,0.9415,117.99867627768481
31,,6,Beijing_air,RNN,Ensemble,0.1,0.8859999999999999,83.12978018080607
32,,6,Beijing_air,RNN,Ensemble,0.15000000000000002,0.832625,64.88596642874043
33,,6,Beijing_air,RNN,Ensemble,0.2,0.78225,53.070301994346416
34,,6,Beijing_air,RNN,Ensemble,0.25,0.727125,43.677885064706174
35,,7,Beijing_air,RNN,Ensemble,0.05,0.937375,124.37270585165301
36,,7,Beijing_air,RNN,Ensemble,0.1,0.885375,85.00256070627906
37,,7,Beijing_air,RNN,Ensemble,0.15000000000000002,0.8345,63.232937489157294
38,,7,Beijing_air,RNN,Ensemble,0.2,0.7829999999999999,51.31554206238897
39,,7,Beijing_air,RNN,Ensemble,0.25,0.730375,44.22855071269206
40,,8,Beijing_air,RNN,Ensemble,0.05,0.941375,120.12026859216364
41,,8,Beijing_air,RNN,Ensemble,0.1,0.8895,82.16663811608029
42,,8,Beijing_air,RNN,Ensemble,0.15000000000000002,0.834125,64.95330338538095
43,,8,Beijing_air,RNN,Ensemble,0.2,0.780875,52.47562863962259
44,,8,Beijing_air,RNN,Ensemble,0.25,0.729375,41.70991387685674
45,,9,Beijing_air,RNN,Ensemble,0.05,0.94225,125.44706379396959
46,,9,Beijing_air,RNN,Ensemble,0.1,0.887125,79.60760531735356
47,,9,Beijing_air,RNN,Ensemble,0.15000000000000002,0.832875,61.99563530042289
48,,9,Beijing_air,RNN,Ensemble,0.2,0.77525,53.4720088848425
49,,9,Beijing_air,RNN,Ensemble,0.25,0.7335,42.20376451813232
